# Iteration, E/spin, M/spin
746, -0.3993164,  0.9003906
747, -0.3993164,  0.8906250
748, -0.4066602,  0.9023438
749, -0.3919727,  0.8867188
750, -0.3809570,  0.8457031
751, -0.3873828,  0.8457031
752, -0.3827930,  0.8496094
753, -0.3736133,  0.8437500
754, -0.3772852,  0.8535156
755, -0.3974805,  0.8925781
756, -0.4029883,  0.9062500
757, -0.4057422,  0.9003906
758, -0.3947266,  0.8886719
759, -0.3892188,  0.8652344
760, -0.4011523,  0.8847656
761, -0.3910547,  0.8750000
762, -0.3919727,  0.8808594
763, -0.3993164,  0.9003906
764, -0.3901367,  0.8886719
765, -0.3910547,  0.8789062
766, -0.3837109,  0.8632812
767, -0.3956445,  0.8886719
768, -0.3974805,  0.8925781
769, -0.3883008,  0.8886719
770, -0.3653516,  0.8417969
771, -0.3910547,  0.8730469
772, -0.3800391,  0.8652344
773, -0.3846289,  0.8730469
774, -0.3901367,  0.8886719
775, -0.4020703,  0.8886719
776, -0.4039063,  0.9023438
777, -0.4011523,  0.8964844
778, -0.4039063,  0.9042969
779, -0.4121680,  0.9121094
780, -0.3818750,  0.8710938
781, -0.3892188,  0.8867188
782, -0.3901367,  0.8925781
783, -0.4029883,  0.9082031
784, -0.3910547,  0.9023438
785, -0.3910547,  0.8984375
786, -0.4066602,  0.9218750
787, -0.3983984,  0.9042969
788, -0.4002344,  0.9042969
789, -0.4066602,  0.9121094
790, -0.3993164,  0.8925781
791, -0.4084961,  0.9082031
792, -0.4020703,  0.9062500
793, -0.4084961,  0.9179688
794, -0.3983984,  0.9062500
795, -0.4002344,  0.9121094
796, -0.3928906,  0.8828125
797, -0.3837109,  0.8593750
798, -0.3883008,  0.8671875
799, -0.4039063,  0.8906250
800, -0.3947266,  0.8847656
801, -0.3855469,  0.8671875
802, -0.3846289,  0.8710938
803, -0.3736133,  0.8300781
804, -0.3607617,  0.8125000
805, -0.3681055,  0.8300781
806, -0.3726953,  0.8300781
807, -0.3855469,  0.8496094
808, -0.4029883,  0.8964844
809, -0.4048242,  0.8906250
810, -0.3919727,  0.8867188
811, -0.3910547,  0.8613281
812, -0.3928906,  0.8808594
813, -0.3827930,  0.8671875
814, -0.3818750,  0.8554688
815, -0.3892188,  0.8750000
816, -0.3919727,  0.8769531
817, -0.3791211,  0.8632812
818, -0.3864648,  0.8496094
819, -0.3901367,  0.8613281
820, -0.3763672,  0.8574219
821, -0.3965625,  0.8847656
822, -0.3772852,  0.8632812
823, -0.3947266,  0.8789062
824, -0.3938086,  0.8789062
825, -0.4029883,  0.9062500
826, -0.4039063,  0.9042969
827, -0.4002344,  0.9042969
828, -0.4020703,  0.9042969
829, -0.3910547,  0.8984375
830, -0.3947266,  0.8886719
831, -0.4066602,  0.9023438
832, -0.4103320,  0.9023438
833, -0.3956445,  0.8828125
834, -0.3818750,  0.8652344
835, -0.3782031,  0.8515625
836, -0.3938086,  0.8808594
837, -0.3818750,  0.8554688
838, -0.3974805,  0.8847656
839, -0.3625977,  0.8398438
840, -0.3855469,  0.8671875
841, -0.3919727,  0.8769531
842, -0.3910547,  0.8613281
843, -0.3809570,  0.8515625
844, -0.3782031,  0.8457031
845, -0.3873828,  0.8808594
846, -0.3928906,  0.8847656
847, -0.3883008,  0.8789062
848, -0.3837109,  0.8593750
849, -0.3883008,  0.8769531
850, -0.3928906,  0.8613281
851, -0.3827930,  0.8574219
852, -0.3864648,  0.8515625
853, -0.3864648,  0.8593750
854, -0.3993164,  0.8789062
855, -0.3928906,  0.8808594
856, -0.3846289,  0.8574219
857, -0.3837109,  0.8554688
858, -0.3974805,  0.8945312
859, -0.4029883,  0.8906250
860, -0.4084961,  0.9042969
861, -0.3938086,  0.8925781
862, -0.3947266,  0.8828125
863, -0.3974805,  0.8710938
864, -0.3809570,  0.8417969
865, -0.3589258,  0.8046875
866, -0.3570898,  0.7753906
867, -0.3782031,  0.8378906
868, -0.3993164,  0.8593750
